Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
174.67,2.568,3.5032,0.28545,2.9872,4.4649,65.642,18.208,26.906,1050.3,0.10274,6.2014,0.12149,supercritical
174.98,2.568,3.4971,0.28595,2.9928,4.4732,65.689,18.219,26.916,1051.1,0.10077,6.2087,0.12168,supercritical
175.28,2.568,3.491,0.28645,2.9985,4.4814,65.736,18.23,26.925,1051.8,0.098811,6.216,0.12187,supercritical
175.59,2.568,3.4848,0.28696,3.0041,4.4896,65.783,18.242,26.935,1052.6,0.096858,6.2234,0.12206,supercritical
175.89,2.568,3.4787,0.28746,3.0098,4.4979,65.83,18.253,26.945,1053.4,0.094914,6.2307,0.12225,supercritical
176.2,2.568,3.4727,0.28796,3.0154,4.5061,65.877,18.264,26.954,1054.2,0.092979,6.238,0.12244,supercritical
176.51,2.568,3.4666,0.28846,3.0211,4.5144,65.924,18.275,26.964,1055,0.091052,6.2453,0.12263,supercritical
176.81,2.568,3.4606,0.28897,3.0267,4.5226,65.971,18.287,26.974,1055.8,0.089134,6.2526,0.12282,supercritical
177.12,2.568,3.4546,0.28947,3.0324,4.5309,66.017,18.298,26.983,1056.6,0.087225,6.2599,0.12301,supercritical
177.42,2.568,3.4486,0.28997,3.038,4.5392,66.064,18.309,26.993,1057.3,0.085324,6.2672,0.1232,supercritical
177.73,2.568,3.4427,0.29047,3.0437,4.5474,66.11,18.32,27.002,1058.1,0.083431,6.2745,0.12338,supercritical
178.04,2.568,3.4367,0.29098,3.0494,4.5557,66.157,18.331,27.012,1058.9,0.081547,6.2818,0.12357,supercritical
178.34,2.568,3.4308,0.29148,3.055,4.564,66.203,18.342,27.021,1059.7,0.079671,6.289,0.12376,supercritical
178.65,2.568,3.4249,0.29198,3.0607,4.5722,66.25,18.353,27.031,1060.5,0.077804,6.2963,0.12395,supercritical
178.95,2.568,3.419,0.29248,3.0664,4.5805,66.296,18.364,27.04,1061.3,0.075944,6.3036,0.12414,supercritical
179.26,2.568,3.4132,0.29298,3.0721,4.5888,66.342,18.375,27.049,1062,0.074093,6.3109,0.12433,supercritical
179.57,2.568,3.4073,0.29349,3.0778,4.5971,66.388,18.385,27.059,1062.8,0.07225,6.3181,0.12452,supercritical
179.87,2.568,3.4015,0.29399,3.0834,4.6054,66.434,18.396,27.068,1063.6,0.070415,6.3254,0.12471,supercritical
180.18,2.568,3.3957,0.29449,3.0891,4.6136,66.48,18.407,27.077,1064.4,0.068588,6.3327,0.1249,supercritical
180.49,2.568,3.3899,0.29499,3.0948,4.6219,66.526,18.418,27.087,1065.2,0.066769,6.3399,0.12508,supercritical
180.79,2.568,3.3842,0.29549,3.1005,4.6302,66.572,18.428,27.096,1065.9,0.064959,6.3472,0.12527,supercritical
181.1,2.568,3.3784,0.296,3.1062,4.6385,66.618,18.439,27.105,1066.7,0.063155,6.3544,0.12546,supercritical
181.4,2.568,3.3727,0.2965,3.1119,4.6468,66.664,18.45,27.114,1067.5,0.06136,6.3617,0.12565,supercritical
181.71,2.568,3.367,0.297,3.1176,4.6551,66.71,18.46,27.123,1068.3,0.059573,6.3689,0.12584,supercritical
182.02,2.568,3.3613,0.2975,3.1233,4.6634,66.755,18.471,27.133,1069,0.057793,6.3762,0.12602,supercritical
