Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
456.46	20.265	5.1082	0.19577	279.84	403.82	5.386	0.71339	1.0594	443.44	0.53199	32.188	0.04421	supercritical
459.7	20.265	5.0689	0.19728	282.31	407.25	5.3935	0.71417	1.0587	444.79	0.5201	32.31	0.044382	supercritical
462.95	20.265	5.0303	0.1988	284.79	410.68	5.4009	0.71497	1.058	446.12	0.50836	32.433	0.044555	supercritical
466.19	20.265	4.9923	0.20031	287.26	414.11	5.4083	0.71577	1.0573	447.46	0.49678	32.555	0.044728	supercritical
469.43	20.265	4.955	0.20182	289.73	417.54	5.4156	0.71658	1.0568	448.78	0.48535	32.678	0.044902	supercritical
472.67	20.265	4.9183	0.20332	292.2	420.97	5.4229	0.7174	1.0562	450.11	0.47408	32.8	0.045076	supercritical
475.92	20.265	4.8822	0.20483	294.67	424.39	5.4301	0.71823	1.0557	451.42	0.46296	32.923	0.045251	supercritical
479.16	20.265	4.8467	0.20633	297.15	427.81	5.4373	0.71906	1.0552	452.73	0.45198	33.045	0.045426	supercritical
482.4	20.265	4.8117	0.20783	299.62	431.24	5.4444	0.71989	1.0548	454.03	0.44115	33.168	0.045602	supercritical
485.64	20.265	4.7773	0.20932	302.09	434.66	5.4515	0.72073	1.0544	455.33	0.43047	33.29	0.045778	supercritical
488.89	20.265	4.7435	0.21082	304.56	438.07	5.4585	0.72158	1.0541	456.62	0.41992	33.413	0.045954	supercritical
492.13	20.265	4.7102	0.21231	307.04	441.49	5.4654	0.72243	1.0538	457.91	0.40952	33.535	0.046131	supercritical
495.37	20.265	4.6774	0.2138	309.51	444.91	5.4724	0.72328	1.0535	459.19	0.39925	33.658	0.046309	supercritical
498.62	20.265	4.6451	0.21528	311.98	448.32	5.4792	0.72414	1.0532	460.46	0.38912	33.78	0.046486	supercritical
501.86	20.265	4.6133	0.21677	314.46	451.74	5.4861	0.72501	1.053	461.73	0.37912	33.903	0.046664	supercritical
505.1	20.265	4.5819	0.21825	316.94	455.15	5.4928	0.72587	1.0528	463	0.36926	34.025	0.046843	supercritical
508.34	20.265	4.5511	0.21973	319.41	458.57	5.4996	0.72674	1.0526	464.25	0.35952	34.147	0.047021	supercritical
511.59	20.265	4.5207	0.22121	321.89	461.98	5.5063	0.72761	1.0525	465.51	0.34992	34.269	0.0472	supercritical
514.83	20.265	4.4907	0.22268	324.37	465.39	5.5129	0.72849	1.0524	466.76	0.34043	34.392	0.047379	supercritical
518.07	20.265	4.4612	0.22416	326.85	468.81	5.5195	0.72936	1.0523	468	0.33107	34.514	0.047559	supercritical
521.31	20.265	4.4321	0.22563	329.33	472.22	5.5261	0.73024	1.0522	469.24	0.32184	34.635	0.047738	supercritical
524.56	20.265	4.4034	0.2271	331.81	475.63	5.5326	0.73112	1.0522	470.47	0.31272	34.757	0.047918	supercritical
527.8	20.265	4.3751	0.22857	334.29	479.04	5.5391	0.73201	1.0521	471.7	0.30373	34.879	0.048098	supercritical
531.04	20.265	4.3472	0.23003	336.77	482.45	5.5455	0.73289	1.0521	472.93	0.29484	35.001	0.048278	supercritical
534.29	20.265	4.3197	0.2315	339.26	485.86	5.552	0.73378	1.0522	474.15	0.28608	35.122	0.048459	supercritical
537.53	20.265	4.2926	0.23296	341.74	489.28	5.5583	0.73466	1.0522	475.36	0.27743	35.243	0.04864	supercritical
540.77	20.265	4.2659	0.23442	344.23	492.69	5.5646	0.73555	1.0523	476.57	0.26888	35.365	0.04882	supercritical
544.01	20.265	4.2395	0.23588	346.72	496.1	5.5709	0.73643	1.0523	477.78	0.26045	35.486	0.049001	supercritical
547.26	20.265	4.2134	0.23734	349.21	499.51	5.5772	0.73732	1.0524	478.98	0.25213	35.607	0.049182	supercritical
550.5	20.265	4.1877	0.23879	351.7	502.93	5.5834	0.73821	1.0525	480.18	0.24391	35.728	0.049364	supercritical
553.74	20.265	4.1624	0.24025	354.19	506.34	5.5896	0.7391	1.0527	481.37	0.2358	35.848	0.049545	supercritical
556.98	20.265	4.1374	0.2417	356.68	509.75	5.5957	0.73998	1.0528	482.56	0.22779	35.969	0.049726	supercritical
560.23	20.265	4.1127	0.24315	359.18	513.17	5.6019	0.74087	1.053	483.75	0.21988	36.089	0.049908	supercritical
563.47	20.265	4.0883	0.2446	361.68	516.58	5.6079	0.74176	1.0531	484.93	0.21207	36.21	0.05009	supercritical
566.71	20.265	4.0643	0.24605	364.17	520	5.614	0.74264	1.0533	486.1	0.20436	36.33	0.050272	supercritical
569.96	20.265	4.0405	0.24749	366.67	523.41	5.62	0.74353	1.0535	487.28	0.19674	36.45	0.050453	supercritical
573.2	20.265	4.017	0.24894	369.18	526.83	5.626	0.74441	1.0537	488.45	0.18923	36.57	0.050635	supercritical
576.44	20.265	3.9939	0.25038	371.68	530.25	5.6319	0.74529	1.0539	489.61	0.1818	36.689	0.050817	supercritical
579.68	20.265	3.971	0.25183	374.18	533.67	5.6378	0.74617	1.0542	490.77	0.17447	36.809	0.050999	supercritical
582.93	20.265	3.9484	0.25327	376.69	537.08	5.6437	0.74705	1.0544	491.93	0.16723	36.928	0.051182	supercritical
586.17	20.265	3.9261	0.25471	379.2	540.5	5.6495	0.74793	1.0547	493.08	0.16008	37.048	0.051364	supercritical
589.41	20.265	3.9041	0.25614	381.71	543.92	5.6554	0.74881	1.0549	494.23	0.15301	37.167	0.051546	supercritical
592.65	20.265	3.8823	0.25758	384.22	547.35	5.6612	0.74968	1.0552	495.38	0.14604	37.286	0.051728	supercritical
595.9	20.265	3.8608	0.25902	386.73	550.77	5.6669	0.75055	1.0555	496.52	0.13914	37.404	0.051911	supercritical
599.14	20.265	3.8395	0.26045	389.25	554.19	5.6726	0.75142	1.0558	497.66	0.13234	37.523	0.052093	supercritical
602.38	20.265	3.8185	0.26188	391.76	557.62	5.6783	0.75229	1.0561	498.79	0.12561	37.641	0.052275	supercritical
605.63	20.265	3.7977	0.26332	394.28	561.04	5.684	0.75316	1.0564	499.92	0.11897	37.76	0.052458	supercritical
608.87	20.265	3.7772	0.26475	396.8	564.47	5.6897	0.75402	1.0567	501.05	0.11241	37.878	0.05264	supercritical
612.11	20.265	3.7569	0.26618	399.32	567.89	5.6953	0.75489	1.0571	502.17	0.10592	37.996	0.052823	supercritical
615.35	20.265	3.7368	0.26761	401.85	571.32	5.7009	0.75574	1.0574	503.29	0.099517	38.114	0.053005	supercritical
618.6	20.265	3.717	0.26903	404.37	574.75	5.7064	0.7566	1.0577	504.41	0.093188	38.231	0.053187	supercritical
621.84	20.265	3.6974	0.27046	406.9	578.18	5.7119	0.75745	1.0581	505.53	0.086934	38.349	0.05337	supercritical
625.08	20.265	3.678	0.27188	409.43	581.61	5.7175	0.75831	1.0584	506.64	0.080755	38.466	0.053552	supercritical
628.32	20.265	3.6589	0.27331	411.96	585.05	5.7229	0.75915	1.0588	507.75	0.074648	38.583	0.053735	supercritical
631.57	20.265	3.6399	0.27473	414.49	588.48	5.7284	0.76	1.0592	508.85	0.068614	38.7	0.053917	supercritical
634.81	20.265	3.6212	0.27615	417.03	591.92	5.7338	0.76084	1.0595	509.95	0.06265	38.817	0.054099	supercritical
638.05	20.265	3.6026	0.27757	419.56	595.35	5.7392	0.76168	1.0599	511.05	0.056757	38.933	0.054282	supercritical
641.3	20.265	3.5843	0.27899	422.1	598.79	5.7446	0.76252	1.0603	512.15	0.050932	39.05	0.054464	supercritical
644.54	20.265	3.5662	0.28041	424.64	602.23	5.7499	0.76335	1.0607	513.24	0.045175	39.166	0.054646	supercritical
647.78	20.265	3.5482	0.28183	427.18	605.67	5.7553	0.76418	1.0611	514.33	0.039485	39.282	0.054829	supercritical
651.02	20.265	3.5305	0.28325	429.73	609.11	5.7606	0.76501	1.0615	515.41	0.03386	39.398	0.055011	supercritical
654.27	20.265	3.5129	0.28466	432.27	612.55	5.7658	0.76583	1.0619	516.5	0.0283	39.514	0.055193	supercritical
657.51	20.265	3.4955	0.28608	434.82	616	5.7711	0.76665	1.0623	517.58	0.022804	39.629	0.055375	supercritical
660.75	20.265	3.4783	0.28749	437.37	619.44	5.7763	0.76747	1.0627	518.65	0.017371	39.745	0.055557	supercritical
663.99	20.265	3.4613	0.28891	439.92	622.89	5.7815	0.76828	1.0631	519.73	0.011999	39.86	0.055739	supercritical
667.24	20.265	3.4445	0.29032	442.48	626.34	5.7867	0.76909	1.0635	520.8	0.0066888	39.975	0.055922	supercritical
670.48	20.265	3.4278	0.29173	445.03	629.79	5.7918	0.7699	1.0639	521.87	0.0014382	40.09	0.056104	supercritical
673.72	20.265	3.4113	0.29314	447.59	633.24	5.797	0.7707	1.0644	522.93	-0.0037533	40.205	0.056285	supercritical
676.97	20.265	3.395	0.29455	450.15	636.69	5.8021	0.7715	1.0648	524	-0.0088866	40.319	0.056467	supercritical
680.21	20.265	3.3788	0.29596	452.71	640.14	5.8072	0.77229	1.0652	525.06	-0.013962	40.434	0.056649	supercritical
683.45	20.265	3.3628	0.29737	455.27	643.6	5.8122	0.77309	1.0656	526.12	-0.018982	40.548	0.056831	supercritical
686.69	20.265	3.347	0.29878	457.84	647.05	5.8173	0.77387	1.0661	527.17	-0.023946	40.662	0.057013	supercritical
689.94	20.265	3.3313	0.30018	460.4	650.51	5.8223	0.77466	1.0665	528.22	-0.028855	40.776	0.057194	supercritical
693.18	20.265	3.3158	0.30159	462.97	653.97	5.8273	0.77544	1.0669	529.27	-0.033709	40.889	0.057376	supercritical
696.42	20.265	3.3004	0.30299	465.54	657.43	5.8323	0.77622	1.0674	530.32	-0.038511	41.003	0.057558	supercritical
699.66	20.265	3.2852	0.3044	468.12	660.89	5.8373	0.77699	1.0678	531.37	-0.04326	41.116	0.057739	supercritical
702.91	20.265	3.2701	0.3058	470.69	664.36	5.8422	0.77776	1.0682	532.41	-0.047958	41.229	0.05792	supercritical
706.15	20.265	3.2552	0.30721	473.27	667.82	5.8471	0.77853	1.0687	533.45	-0.052604	41.342	0.058102	supercritical
709.39	20.265	3.2404	0.30861	475.84	671.29	5.852	0.77929	1.0691	534.48	-0.0572	41.455	0.058283	supercritical
712.64	20.265	3.2257	0.31001	478.42	674.75	5.8569	0.78005	1.0696	535.52	-0.061747	41.568	0.058464	supercritical
