Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
520.13,20.265,4.3523,0.22976,4986.3,7296.1,39.547,10.486,14.637,1863,-0.53021,13.19,0.2895,supercritical
521.77,20.265,4.3395,0.23044,5003.6,7320.1,39.593,10.486,14.637,1865.5,-0.53075,13.218,0.29011,supercritical
523.41,20.265,4.3268,0.23112,5020.8,7344.2,39.64,10.486,14.636,1868,-0.53129,13.246,0.29073,supercritical
525.06,20.265,4.3142,0.23179,5038.1,7368.2,39.685,10.486,14.636,1870.5,-0.53182,13.274,0.29134,supercritical
526.7,20.265,4.3017,0.23247,5055.3,7392.3,39.731,10.487,14.636,1872.9,-0.53235,13.302,0.29195,supercritical
528.34,20.265,4.2892,0.23315,5072.6,7416.3,39.777,10.487,14.635,1875.4,-0.53288,13.33,0.29256,supercritical
529.99,20.265,4.2768,0.23382,5089.8,7440.4,39.822,10.487,14.635,1877.9,-0.5334,13.358,0.29318,supercritical
531.63,20.265,4.2644,0.2345,5107.1,7464.4,39.867,10.487,14.634,1880.4,-0.53392,13.385,0.29379,supercritical
533.27,20.265,4.2522,0.23517,5124.3,7488.5,39.913,10.487,14.634,1882.8,-0.53443,13.413,0.2944,supercritical
534.92,20.265,4.24,0.23585,5141.6,7512.5,39.958,10.488,14.634,1885.3,-0.53494,13.441,0.29501,supercritical
536.56,20.265,4.2279,0.23653,5158.9,7536.6,40.003,10.488,14.633,1887.7,-0.53544,13.469,0.29562,supercritical
538.2,20.265,4.2158,0.2372,5176.1,7560.6,40.047,10.488,14.633,1890.2,-0.53594,13.497,0.29623,supercritical
539.85,20.265,4.2038,0.23788,5193.4,7584.7,40.092,10.488,14.633,1892.6,-0.53644,13.524,0.29684,supercritical
541.49,20.265,4.1919,0.23855,5210.6,7608.7,40.136,10.489,14.633,1895.1,-0.53693,13.552,0.29745,supercritical
543.13,20.265,4.1801,0.23923,5227.9,7632.8,40.181,10.489,14.632,1897.5,-0.53742,13.58,0.29806,supercritical
544.78,20.265,4.1683,0.23991,5245.1,7656.8,40.225,10.489,14.632,1900,-0.53791,13.607,0.29867,supercritical
546.42,20.265,4.1566,0.24058,5262.4,7680.9,40.269,10.49,14.632,1902.4,-0.53839,13.635,0.29928,supercritical
548.06,20.265,4.145,0.24126,5279.6,7704.9,40.313,10.49,14.632,1904.8,-0.53887,13.663,0.29989,supercritical
549.71,20.265,4.1334,0.24193,5296.9,7728.9,40.357,10.49,14.631,1907.3,-0.53934,13.69,0.3005,supercritical
551.35,20.265,4.1219,0.24261,5314.1,7753,40.4,10.491,14.631,1909.7,-0.53981,13.718,0.30111,supercritical
552.99,20.265,4.1104,0.24328,5331.4,7777,40.444,10.491,14.631,1912.1,-0.54028,13.746,0.30172,supercritical
554.64,20.265,4.099,0.24396,5348.6,7801.1,40.487,10.491,14.631,1914.5,-0.54074,13.773,0.30233,supercritical
556.28,20.265,4.0877,0.24464,5365.9,7825.1,40.531,10.492,14.631,1917,-0.5412,13.801,0.30294,supercritical
557.92,20.265,4.0765,0.24531,5383.1,7849.2,40.574,10.492,14.63,1919.4,-0.54166,13.828,0.30355,supercritical
