x_mm,r_mm
-184.93086,41.93708
-184.73086,41.93708
-184.53086,41.93708
-184.33086,41.93708
-184.13086,41.93708
-183.93086,41.93708
-183.73086,41.93708
-183.53086,41.93708
-183.33086,41.93708
-183.13086,41.93708
-182.93086,41.93708
-182.73086,41.93708
-182.53086,41.93708
-182.33086,41.93708
-182.13086,41.93708
-181.93086,41.93708
-181.73086,41.93708
-181.53086,41.93708
-181.33086,41.93708
-181.13086,41.93708
-180.93086,41.93708
-180.73086,41.93708
-180.53086,41.93708
-180.33086,41.93708
-180.13086,41.93708
-179.93086,41.93708
-179.73086,41.93708
-179.53086,41.93708
-179.33086,41.93708
-179.13086,41.93708
-178.93086,41.93708
-178.73086,41.93708
-178.53086,41.93708
-178.33086,41.93708
-178.13086,41.93708
-177.93086,41.93708
-177.73086,41.93708
-177.53086,41.93708
-177.33086,41.93708
-177.13086,41.93708
-176.93086,41.93708
-176.73086,41.93708
-176.53086,41.93708
-176.33086,41.93708
-176.13086,41.93708
-175.93086,41.93708
-175.73086,41.93708
-175.53086,41.93708
-175.33086,41.93708
-175.13086,41.93708
-174.93086,41.93708
-174.73086,41.93708
-174.53086,41.93708
-174.33086,41.93708
-174.13086,41.93708
-173.93086,41.93708
-173.73086,41.93708
-173.53086,41.93708
-173.33086,41.93708
-173.13086,41.93708
-172.93086,41.93708
-172.73086,41.93708
-172.53086,41.93708
-172.33086,41.93708
-172.13086,41.93708
-171.93086,41.93708
-171.73086,41.93708
-171.53086,41.93708
-171.33086,41.93708
-171.13086,41.93708
-170.93086,41.93708
-170.73086,41.93708
-170.53086,41.93708
-170.33086,41.93708
-170.13086,41.93708
-169.93086,41.93708
-169.73086,41.93708
-169.53086,41.93708
-169.33086,41.93708
-169.13086,41.93708
-168.93086,41.93708
-168.73086,41.93708
-168.53086,41.93708
-168.33086,41.93708
-168.13086,41.93708
-167.93086,41.93708
-167.73086,41.93708
-167.53086,41.93708
-167.33086,41.93708
-167.13086,41.93708
-166.93086,41.93708
-166.73086,41.93708
-166.53086,41.93708
-166.33086,41.93708
-166.13086,41.93708
-165.93086,41.93708
-165.73086,41.93708
-165.53086,41.93708
-165.33086,41.93708
-165.13086,41.93708
-164.93086,41.93708
-164.73086,41.93708
-164.53086,41.93708
-164.33086,41.93708
-164.13086,41.93708
-163.93086,41.93708
-163.73086,41.93708
-163.53086,41.93708
-163.33086,41.93708
-163.13086,41.93708
-162.93086,41.93708
-162.73086,41.93708
-162.53086,41.93708
-162.33086,41.93708
-162.13086,41.93708
-161.93086,41.93708
-161.73086,41.93708
-161.53086,41.93708
-161.33086,41.93708
-161.13086,41.93708
-160.93086,41.93708
-160.73086,41.93708
-160.53086,41.93708
-160.33086,41.93708
-160.13086,41.93708
-159.93086,41.93708
-159.73086,41.93708
-159.53086,41.93708
-159.33086,41.93708
-159.13086,41.93708
-158.93086,41.93708
